,Set number,Name,Also known as,Set type,Theme group,Theme,Subtheme,Year released,Tags,Pieces,RRP,Current value,Price per piece,Age range,Packaging,Dimensions,Availability,Notes,Rating,Minifigs,Weight,Barcodes,Designer,Designers,LEGO item numbers
101,10050-1,Grey Fences,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,34,$6.00,"
New: ~CA$27
Used:
",17.6c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
102,10051-1,Small Windows,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,50,$7.00,"
New: ~CA$18
Used: ~CA$23
",14.0c,,Polybag,,LEGO exclusive,This set contains fifty 1 x 2 transparent bricks.,Not yet rated,,,,,,
103,10052-1,Intelligent Locomotive,,Normal,Pre-school,Explore,,2003,View tags »Intelli Train ,4,$55.00,"
New: 
Used:
",1375.0c,,,,,Limited release. Available from Shop At Home.,Not yet rated,2,,,,,
104,10053-1,Black Roof Tiles,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,44,$6.00,"
New: ~CA$17
Used:
",13.6c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
105,10054-1,Black Roof Tiles,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,68,$5.99,"
New: ~CA$22
Used:
",8.8c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
106,10055-1,Black Roof Tiles,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,50,$5.99,"
New: ~CA$19
Used:
",12.0c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
107,10056-1,White Plates,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,56,$5.00,"
New: ~CA$11
Used:
",8.9c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
108,10057-1,Black Plates,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,56,$5.00,"
New: ~CA$11
Used:
",8.9c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
109,10058-1,Red Plates,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,56,$5.00,"
New: 
Used:
",8.9c,,Polybag,,LEGO exclusive,, 1 Review,,,,,,
110,10059-1,Dark Green Plates,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,56,$5.00,"
New: ~CA$6
Used:
",8.9c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
111,10060-1,Grey Plates,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,56,$5.00,"
New: ~CA$19
Used:
",8.9c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
112,10061-1,Black Plates,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,84,$5.00,"
New: ~CA$13
Used:
",6.0c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
113,10062-1,Red Plates,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,84,$4.99,"
New: ~CA$13
Used:
",5.9c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
114,10063-1,Dark Green Plates,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,84,$5.00,"
New: ~CA$10
Used:
",6.0c,,Polybag,,LEGO exclusive,, 1 Review,,,,,,
115,10064-1,Grey Plates,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,84,$5.00,"
New: ~CA$26
Used:
",6.0c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
116,10065-1,White Plates,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,84,$5.00,"
New: 
Used:
",6.0c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
117,10066-1,Castle Accessories,,Normal,Basic,Bulk Bricks,Castle,2002,View tags »Polybag ,37,$5.00,"
New: ~CA$33
Used: ~CA$19
",13.5c,,Polybag,,LEGO exclusive,, 5 Reviews,1,,,,,
118,10067-1,Mini-Fig Headgear,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,53,$5.00,"
New: ~CA$22
Used:
",9.4c,,Polybag,,LEGO exclusive,, 3 Reviews,,,,,,
119,10068-1,Santa,,Normal,Miscellaneous,Seasonal,Christmas,2002,View tags »Brick Built FigureChristmasPolybagSanta Claus ,39,$2.50,"
New: ~CA$8
Used: ~CA$4
",6.4c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
120,10069-1,Tree,,Normal,Miscellaneous,Seasonal,Christmas,2002,View tags »Brick Built TreeChristmasChristmas TreePolybag ,33,$2.50,"
New: ~CA$10
Used: ~CA$7
",7.6c,,Polybag,,LEGO exclusive,, 4 Reviews,,,,,,
121,10070-1,Reindeer,,Normal,Miscellaneous,Seasonal,Christmas,2002,View tags »Brick Built AnimalsChristmasDeerPolybag ,26,£1.99 / $2.50,"
New: ~CA$14
Used: ~CA$3
",7.7p / 9.6c,,Polybag,,LEGO exclusive,, 2 Reviews,,,,,,
122,10071-1,Mr. Bunny,,Normal,Miscellaneous,Seasonal,Easter,2003,View tags »Brick Built AnimalsEasterPolybagRabbit ,25,£1.99 / $2.50,"
New: ~CA$6
Used: ~CA$1
",8.0p / 10.0c,,Polybag,,LEGO exclusive,Limited release. Available from Shop At Home.Same as 1677-1 , 1 Review,,,,,,
123,10072-1,Technic Beams,,Normal,Basic,Bulk Bricks,Technic,2003,View tags »Polybag ,56,£8.99 / $9.99,"
New: ~CA$32
Used:
",16.1p / 17.8c,,Polybag,,LEGO exclusive,Limited release. Available from Shop At Home.,Not yet rated,,,UPC: 673419014205,,,
124,10073-1,Technic Bushes,,Normal,Basic,Bulk Bricks,Technic,2003,View tags »Polybag ,130,£6.99 / $9.99,"
New: ~CA$10
Used:
",5.4p / 7.7c,,Polybag,,LEGO exclusive,Limited release. Available from Shop At Home.,Not yet rated,,,,,,
125,10074-1,Technic Cross Axles,,Normal,Basic,Bulk Bricks,Technic,2003,View tags »Polybag ,68,£6.99 / $10.00,"
New: ~CA$14
Used:
",10.3p / 14.7c,,Polybag,,LEGO exclusive,Limited release. Available from Shop At Home.,Not yet rated,,,,,,
126,10075-1,Spider-Man Action Pack,,Normal,Modern day,Studios,Spider-Man,2002,View tags »GliderMarvel Super HeroesPoliceSony ,25,$7.00,"
New: ~CA$279
Used: ~CA$50
",28.0c,,Box,,LEGO exclusive,"Originally, this set was only available as part of kit K1376 that also included sets 1374 Green Goblin and 1376 Spider-Man Action Studio, but as from October 2002, set 10075 was available as an individual set from Shop At Home.",Not yet rated,,,UPC: 673419014236,,,
127,10076-1,Technic Gear Wheels,,Normal,Basic,Bulk Bricks,Technic,2002,View tags »Polybag ,39,£8.99 / $12.99,"
New: ~CA$38
Used: ~CA$25
",23.1p / 33.3c,7+,Polybag,,LEGO exclusive,Limited release. Available from Shop At Home., 1 Review,,,UPC: 673419014243,,,NA: 4174395
128,10077-1,Technic Motor,,Normal,Basic,Bulk Bricks,Technic,2003,View tags »Polybag ,55,£8.99 / $13.00,"
New: ~CA$36
Used:
",16.3p / 23.6c,,Polybag,,LEGO exclusive,Limited release. Available from Shop At Home.,Not yet rated,,,,,,
129,10078-1,Train Connection Wire,,Normal,Modern day,Trains,9V,2003,View tags »9VElectricPolybagTrain Accessory ,1,£7.35 / $8.99,"
New: ~CA$78
Used: ~CA$93
",735.0p / 899.0c,,Polybag,,LEGO exclusive,Limited release. Available from Shop At Home.,Not yet rated,,,,,,
130,10079-1,Snowman,,Normal,Miscellaneous,Seasonal,Christmas,2003,View tags »Brick Built FigureChristmasPolybagSnowman ,42,£1.99 / $2.50,"
New: ~CA$8
Used: ~CA$6
",4.7p / 6.0c,,Polybag,,LEGO exclusive,Limited release.Re-released version of 1979-1 , 1 Review,,,,,,
131,10080-1,Angel,,Normal,Miscellaneous,Seasonal,Christmas,2003,View tags »Brick Built FigureChristmasPolybag ,33,£1.99 / $2.49,"
New: ~CA$23
Used: ~CA$5
",6.0p / 7.5c,,Polybag,,LEGO exclusive,Limited release.Re-released version of 1626-1 , 2 Reviews,,,,,,
132,10081-1,Heart Birthday Pack,,Normal,Girls,Clikits,,2004,View tags »Birthday ,70,£4.50 / $6.00,"
New: ~CA$5
Used:
",6.4p / 8.6c,,,,,Random set of the day on 25 Nov 2018,Not yet rated,,,,,,
133,10082-1,Daisy Birthday Pack,,Normal,Girls,Clikits,,2004,View tags »Birthday ,70,£4.50 / $6.00,"
New: ~CA$15
Used:
",6.4p / 8.6c,,,,,Random set of the day on 24 Nov 2018,Not yet rated,,,,,,
134,10083-1,Star Birthday Pack,,Normal,Girls,Clikits,,2004,View tags »Birthday ,70,£4.50 / $6.00,"
New: 
Used:
",6.4p / 8.6c,,,,,Random set of the day on 06 Oct 2018,Not yet rated,,,,,,
135,10090-1,Turkey,,Normal,Miscellaneous,Seasonal,Thanksgiving,2003,View tags »Brick Built AnimalsPolybagThanksgivingTurkey ,54,£2.99 / $3.50,"
New: ~CA$11
Used: ~CA$11
",5.5p / 6.5c,,Polybag,,LEGO exclusive,Limited release. Available from Shop At Home. May contain three dark bluish grey pieces in place of the sand blue originals.Replaced by 40011-1 , 1 Review,,,,,,
136,10106-1,LEGO Snowflake,,Normal,Miscellaneous,Seasonal,Christmas,2006,View tags »ChristmasPolybag ,105,£6.99 / $7.99,"
New: ~CA$19
Used: ~CA$12
",6.7p / 7.6c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
137,101-1,4.5V Battery Case,,Normal,Modern day,Trains,Supplemental / 4.5V,1969,View tags »4.5VElectric ,1,,"
New: ~CA$58
Used: ~CA$25
",,,,,,,Not yet rated,,,,,,
138,1011-1,LEGO Number/Symbol Blocks,,Normal,Educational,Dacta,,1976,View tags »,100,$32.00,"
New: 
Used:
",32.0c,,,,,,Not yet rated,,,,,,
139,10111-1,Foliferous Tree,,Normal,Basic,Bulk Bricks,,2001,View tags »Polybag ,10,$6.00,"
New: ~CA$32
Used:
",60.0c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
140,10112-1,Bush,,Normal,Basic,Bulk Bricks,,2001,View tags »Polybag ,25,$7.00,"
New: ~CA$31
Used:
",28.0c,,Polybag,,LEGO exclusive,, 1 Review,,,,,,
141,10113-1,Cypress Tree,,Normal,Basic,Bulk Bricks,,2001,View tags »Polybag ,5,$5.00,"
New: ~CA$149
Used:
",100.0c,,Polybag,,LEGO exclusive,, 1 Review,,,,,,
142,10114-1,2 x 2 Sand Red Roof Tile,,Normal,Basic,Bulk Bricks,,2001,View tags »Polybag ,100,$7.99,"
New: ~CA$27
Used:
",8.0c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
143,10115-1,Jumper Bricks,,Normal,Basic,Bulk Bricks,,2001,View tags »Polybag ,80,$4.99,"
New: ~CA$19
Used:
",6.2c,4+,Polybag,,LEGO exclusive,"Twenty jumper bricks each in black, white, grey and dark grey.",Not yet rated,,,UPC: 673419014618,,,NA: 4174620
144,10116-1,Heart Accessories,,Normal,Girls,Clikits,,2004,View tags »,50,$5.00,"
New: ~CA$10
Used:
",10.0c,,,,,,Not yet rated,,,,,,
145,10117-1,Daisy Accessories,,Normal,Girls,Clikits,,2004,View tags »,50,$5.00,"
New: ~CA$7
Used:
",10.0c,,,,,Random set of the day on 14 Jul 2019,Not yet rated,,,,,,
146,10118-1,Star Accessories,,Normal,Girls,Clikits,,2004,View tags »,50,$5.00,"
New: ~CA$13
Used:
",10.0c,,,,,,Not yet rated,,,,,,
147,101-2,Imagination Set 1,Lego Beginner Set 101,Normal,Vintage,Samsonite,Basic set,1971,View tags »,290,$4.95,"
New: 
Used:
",1.7c,,Box,16.5 x 16.5 x 13.4 cm (6.5 x 6.5 x 5.3 in),,USA only.,Not yet rated,,,,,,
148,10121-1,NBA Basketball Teams,,Normal,Modern day,Sports,Basketball,2003,View tags »BasketballBostonChicagoCross PromotionMinifigure PackNbaSportsTexasUSA ,20,£5.99 / $10.00,"
New: ~CA$95
Used:
",30.0p / 50.0c,,Box,,Retail,Set contains five basketball players and stickers from all NBA teams.,Not yet rated,5,,,,,
149,10123-1,Cloud City,,Normal,Licensed,Star Wars,Episode V,2003,View tags »Boba FettDarth VaderHan SoloLando CalrissianLuke SkywalkerPrincess LeiaStormtrooper BespinBounty HuntersCarboniteCloud CityD2cLightsaber DuelOriginal TrilogyThe Empire Strikes Back ,698,$100.00,"
New: ~CA$2077
 Used: ~CA$551
",14.3c,,Box,,LEGO exclusive,,✭✭✭✭✭ 4.6 58 ratings 15 Reviews,8,,UPC: 673419034746EAN: 5702014367579, Bjarke Lykke Madsen ,,
150,10124-1,Wright Flyer,,Normal,Model making,Creator Expert,Aircraft,2003,View tags »AircraftBiplaneD2cHistoric ,670,£49.99 / $60.00,"
New: ~CA$539
Used: ~CA$293
",7.5p / 9.0c,12+,Box,,LEGO exclusive,,✭✭✭✭✩ 4.1 16 ratings 4 Reviews,,,EAN: 5702014345546, Henrik Andersen ,,
151,10127-1,NHL All Teams Set,,Normal,Modern day,Sports,Hockey,2003,View tags »Cross PromotionHockeyNhlSlammerSportsTechnicUSA ,59,£4.99 / $9.00,"
New: ~CA$20
Used: ~CA$19
",8.5p / 15.3c,,Box,,Retail,Random set of the day on 19 Apr 2018, 1 Review,,,,,,
152,10128-1,Train Level Crossing,,Normal,Modern day,World City,Trains,2003,View tags »9VBaseplateCherry PickerD2cElectricLevel CrossingPedestrian CrossingRailway BuildingRailway MaintenanceRoad BaseplateTrain TrackTruck ,327,£39.99 / $50.00,"
New: ~CA$282
Used: ~CA$163
",12.2p / 15.3c,,Box,,LEGO exclusive,,✭✭✭✭✩ 4.0 20 ratings 5 Reviews,2,,UPC: 673419032285EAN: 5702014359857, Bjarke Lykke Madsen ,,
153,10129-1,Rebel Snowspeeder,,Normal,Licensed,Star Wars,Ultimate Collector Series,2003,View tags »D2cDisplay StandHothOriginal TrilogyRebel AllianceSnowspeederSpeederThe Empire Strikes Back ,1457,$130.00,"
New: ~CA$1111
Used: ~CA$620
",8.9c,14+,Box,,Retail - limited,Random set of the day on 28 Jan 2018,✭✭✭✭✭ 4.3 27 ratings 6 Reviews,,,EAN: 5702014364936, Bjarke Lykke Madsen ,,
154,101-3,4.5V Battery Case,,Normal,Modern day,Trains,Supplemental / 4.5V,1966,View tags »4.5VElectric ,1,,"
New: 
Used: ~CA$30
",,,,,,,Not yet rated,,,,,,
155,1013-1,Numbers - 6 symbols,,Normal,Educational,Dacta,,1985,View tags »,,,"
New: 
Used:
",,,,,,,Not yet rated,,,,,,
156,10131-1,TIE Fighter Collection,,Normal,Licensed,Star Wars,Legends,2004,View tags »Darth VaderDroid BrainTIE Fighter Pilot D2cDroidGalactic EmpireOriginal TrilogyStarfighter ,682,£64.99 / $70.00,"
New: ~CA$378
Used: ~CA$204
",9.5p / 10.3c,,Box,,,Random set of the day on 26 Apr 2020,✭✭✭✭✩ 4.2 40 ratings 9 Reviews,4,,EAN: 5702014369344,,,
157,10132-1,Motorised Hogwarts Express,,Normal,Licensed,Harry Potter,Prisoner of Azkaban,2004,View tags »DementorHarry PotterProfessor Remus LupinRon Weasley 9VD2cHogsmeadeHogwarts ExpressLamppostMagicOwlPassenger CoachPassenger TrainSteam LocomotiveTrain Track ,708,£89.99 / $120.00,"
New: ~CA$922
Used: ~CA$523
",12.7p / 16.9c,,Box,57.6 x 38.4 x 9.6 cm (22.7 x 15.1 x 3.8 in),Retail,Random set of the day on 22 Aug 2020Included in 65524-1 ,✭✭✭✭✭ 4.5 18 ratings 12 Reviews,4,2.58Kg (5.68 lb),UPC: 673419034876EAN: 5702014369337,,,NA: 4219670
158,10133-1,Burlington Northern Santa Fe (BNSF) Locomotive,,Normal,Modern day,Trains,9V,2005,View tags »D2cDiesel LocomotiveFreight TrainTrainUSA ,407,£24.99 / $40.00,"
New: ~CA$506
Used: ~CA$317
",6.1p / 9.8c,8+,Box,28.6 x 19 x 7 cm (11.3 x 7.5 x 2.8 in),LEGO exclusive,,✭✭✭✭✩ 4.1 31 ratings 6 Reviews,2,,, Jørn Thomsen ,,
159,10134-1,Y-wing Attack Starfighter,,Normal,Licensed,Star Wars,Ultimate Collector Series,2004,View tags »R5-D4 D2cDisplay StandDroidRebel AllianceStarfighter ,1473,£109.99 / $120.00,"
New: ~CA$719
Used: ~CA$394
",7.5p / 8.1c,14+,Box,,Retail - limited,,✭✭✭✭✭ 4.5 55 ratings 11 Reviews,1,,UPC: 673419034890EAN: 5702014369313,,,
160,10135-1,Holiday Decoration Kit,,Normal,Girls,Clikits,Seasonal,2004,View tags »ChristmasDesk AccessorySeasonalStationeryStorageTable Decoration ,283,£24.99 / $35.00,"
New: 
Used:
",8.8p / 12.4c,,,,,,Not yet rated,,,,,,
161,10143-1,Death Star II,,Normal,Licensed,Star Wars,Ultimate Collector Series,2005,View tags »D2cDisplay StandGalactic EmpireMicroscaleOriginal TrilogyReturn Of The Jedi ,3441,£249.99 / $269.99,"
New: ~CA$3203
Used: ~CA$1662
",7.3p / 7.8c,16+,Box,,Retail - limited,,✭✭✭✭✭ 4.4 62 ratings 6 Reviews,,,UPC: 673419057271,,,
162,10144-1,Sandcrawler,,Normal,Licensed,Star Wars,Episode IV,2005,View tags »ASP DroidC-3POGonk DroidJawaOwen LarsR1_G4R2-D2R5-D4Treadwell Droid A New HopeD2cDroidJawasOriginal TrilogyTatooineTracked Vehicle ,1669,£107.65 / $139.99,"
New: ~CA$372
Used: ~CA$331
",6.4p / 8.4c,12+,Box,,Retail,Random set of the day on 14 May 2020,✭✭✭✭✭ 4.5 92 ratings 22 Reviews,11,,UPC: 673419057288EAN: 5702014426290,,,
163,10145-1,Assorted Light Grey Bricks,,Normal,Basic,Bulk Bricks,,2004,View tags »Polybag ,62,$5.00,"
New: ~CA$21
Used: ~CA$15
",8.1c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
164,10146-1,Assorted Dark Grey Bricks,,Normal,Basic,Bulk Bricks,,2004,View tags »Polybag ,63,$5.00,"
New: ~CA$24
Used:
",7.9c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
165,10147-1,Assorted Brown Bricks,,Normal,Basic,Bulk Bricks,,2004,View tags »Polybag ,62,$5.00,"
New: ~CA$19
Used:
",8.1c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
166,10148-1,Assorted Light Grey Plates,,Normal,Basic,Bulk Bricks,,2004,View tags »Polybag ,42,$5.00,"
New: ~CA$21
Used:
",11.9c,,Polybag,,LEGO exclusive,,Not yet rated,,,EAN: 5702014428720,,,EU: 4252554
167,10149-1,Assorted Dark Grey Plates,,Normal,Basic,Bulk Bricks,,2004,View tags »Polybag ,42,$5.00,"
New: ~CA$13
Used:
",11.9c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
168,10150-1,Assorted Brown Plates,,Normal,Basic,Bulk Bricks,,2004,View tags »Polybag ,42,$5.00,"
New: ~CA$31
Used:
",11.9c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
169,10151-1,Hot Rod,,Normal,Model making,Model Team,,2004,View tags »12 Wide CarD2cFunctional SteeringHot RodLegends ,421,£26.99 / $40.00,"
New: ~CA$431
Used: ~CA$152
",6.4p / 9.5c,,Box,,LEGO exclusive,Re-released version of 5541-1 , 3 Reviews,,,,,,
170,10152-1,Maersk Sealand Container Ship,,Normal,Model making,Creator Expert,Maersk,2004,View tags »CargoCargo ShipCross PromotionD2cMaerskShip ,988,$75.00,"
New: ~CA$272
Used: ~CA$160
",7.6c,,Box,,LEGO exclusive,"Promotional release with Maersk Line, Denmark. Also available from Shop At Home in limited numbers. Note: In later releases, the Maersk blue bricks have been replaced with a different blue. Re-released as 10155-1 ", 3 Reviews,,,UPC: 673419058261, Henrik Andersen ,,
171,10153-1,Train Motor 9 V,,Normal,Modern day,Trains,9V,2002,View tags »9VElectricElectric MotorMy Own TrainTrain Accessory ,3,£22.49 / $24.99,"
New: ~CA$126
Used: ~CA$55
",749.7p / 833.0c,5+,Box,9.5 x 9.7 x 4.8 cm (3.7 x 3.8 x 1.9 in),Retail - limited,Included in 65537-1 Re-released version of 5300-1 ,✭✭✭✭✩ 4.1 19 ratings 2 Reviews,,,UPC: 673419016506,,,NA: 4183474
172,10155-1,Maersk Line Container Ship,,Normal,Model making,Creator Expert,Maersk,2010,View tags »Cargo ShipCross PromotionD2cMaerskMicroscaleShip ,990,£102.99 / $119.99,"
New: ~CA$292
Used: ~CA$193
",10.4p / 12.1c,8+,Box,,LEGO exclusive,"Promotional release with Maersk Line, Denmark.Re-released version of 10152-1 ",✭✭✭✭✩ 4.2 22 ratings 3 Reviews,,,,,,
173,10156-1,LEGO Truck,,Normal,Modern day,Town,Special,2004,View tags »Truck ,105,£8.99 / $15.00,"
New: ~CA$50
Used: ~CA$31
",8.6p / 14.3c,,Box,,LEGO exclusive,Re-released version of 2148-1 ,✭✭✭✭✩ 4.1 22 ratings 9 Reviews,1,,EAN: 5702014433977,,,
174,10157-1,High Speed Train Locomotive,,Normal,Modern day,World City,Trains,2004,View tags »Electric LocomotivePassenger Train ,143,£19.99 / $25.00,"
New: ~CA$200
Used: ~CA$159
",14.0p / 17.5c,,Box,,LEGO exclusive,See also 4511-1 , 4 Reviews,2,,,,,
175,10158-1,High Speed Train Car,,Normal,Modern day,World City,Trains,2004,View tags »CameraPassenger CoachPassenger TrainTrain Accessory ,161,£19.99 / $25.00,"
New: ~CA$197
Used: ~CA$130
",12.4p / 15.5c,,Box,,LEGO exclusive,Random set of the day on 27 Sep 2018See also 4511-1 , 3 Reviews,2,,,,,
176,10159-1,City Airport,,Normal,Modern day,Town,Flight,2004,View tags »AircraftAirolineAirportBaseplateD2cForkliftHelicopterJet AircraftOctanRoad BaseplateTanker Vehicle ,928,£69.99 / $90.00,"
New: ~CA$356
Used: ~CA$222
",7.5p / 9.7c,,Box,,LEGO exclusive,Set was later repackaged under the City theme.Re-released version of 6597-1 ,✭✭✭✭✭ 4.6 32 ratings 12 Reviews,12,,,,,
177,10160-1,Black Ridge Tiles,,Normal,Basic,Bulk Bricks,,2004,View tags »Polybag ,48,£4.29 / $5.99,"
New: ~CA$27
Used: ~CA$14
",8.9p / 12.5c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
178,10161-1,Black Roof Tiles,,Normal,Basic,Bulk Bricks,,2004,View tags »Polybag ,76,£4.29 / $5.99,"
New: ~CA$19
Used: ~CA$14
",5.6p / 7.9c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
179,10162-1,Red Ridge Tiles,,Normal,Basic,Bulk Bricks,,2004,View tags »Polybag ,48,$6.00,"
New: ~CA$19
Used: ~CA$16
",12.5c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
180,10163-1,Red Roof Tiles,,Normal,Basic,Bulk Bricks,,2004,View tags »Polybag ,76,$6.00,"
New: ~CA$30
Used: ~CA$14
",7.9c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
181,10165-1,Elf Boy,,Normal,Miscellaneous,Seasonal,Christmas,2004,View tags »Brick Built FigureChristmasElvesPolybag ,27,£1.99 / $2.50,"
New: ~CA$13
Used: ~CA$5
",7.4p / 9.3c,,Polybag,,LEGO exclusive,Limited release. Available from Shop At Home., 1 Review,,,,,,
182,10166-1,Elf Girl,,Normal,Miscellaneous,Seasonal,Christmas,2002,View tags »Brick Built FigureChristmasElvesPolybag ,31,£1.98 / $2.50,"
New: ~CA$13
Used: ~CA$7
",6.4p / 8.1c,,Polybag,,LEGO exclusive,Limited release. Available from Shop At Home.Re-released in 2004 with minor differences., 1 Review,,,,,,
183,10167-1,LEGO BrickMaster Welcome Kit,,Normal,Model making,Creator,,2004,View tags »,180,,"
New: ~CA$30
Used:
",,,Box,,LEGO exclusive,BrickMaster exclusive set., 2 Reviews,,,,,,
184,10168-1,Mrs. Bunny,,Normal,Miscellaneous,Seasonal,Easter,2005,View tags »Brick Built AnimalsBrick Built TreeEasterPolybagRabbit ,61,£2.16 / $3.99,"
New: ~CA$17
Used: ~CA$6
",3.5p / 6.5c,,Polybag,,LEGO exclusive,Limited release. Available from Shop At Home.,Not yet rated,,,,,,
185,10169-1,Chicken & Chicks,,Normal,Miscellaneous,Seasonal,Easter,2005,View tags »Brick Built AnimalsBrick Built TreeChickenEasterPolybag ,57,£2.16 / $3.99,"
New: ~CA$12
Used: ~CA$4
",3.8p / 7.0c,,Polybag,,LEGO exclusive,Limited release. Available from Shop At Home., 1 Review,,,,,,
186,10170-1,TTX Intermodal Double-Stack Car,,Normal,Modern day,Trains,9V,2005,View tags »4X8 ContainerCargoD2cFreight Wagon ,366,$40.00,"
New: ~CA$298
Used: ~CA$147
",10.9c,,Box,,LEGO exclusive,,✭✭✭✭✭ 4.3 19 ratings 3 Reviews,,,EAN: 5702014462731, Jørn Thomsen ,,
187,10173-1,Holiday Train,,Normal,Model making,Creator Expert,Trains,2006,View tags »CatChristmasD2cFreight TrainMotor TricyclePassenger CoachPassenger TrainRabbitRatSteam LocomotiveWinter Village ,965,£49.99 / $89.99,"
New: ~CA$653
Used: ~CA$349
",5.2p / 9.3c,,Box,,Retail - limited,,✭✭✭✭✩ 4.2 44 ratings 6 Reviews,7,,EAN: 5702014473560, Jørn Thomsen ,,NA: 4289516
188,10174-1,Imperial AT-ST,,Normal,Licensed,Star Wars,Ultimate Collector Series,2006,View tags »D2cGalactic EmpireOriginal TrilogyReturn Of The JediWalker ,1068,£58.69 / $79.99,"
New: ~CA$554
Used: ~CA$314
",5.5p / 7.5c,14+,Box,,,Random set of the day on 14 Dec 2019,✭✭✭✭✭ 4.4 124 ratings 12 Reviews,,,UPC: 673419083058EAN: 5702014478626, Bjarke Lykke Madsen ,,NA: 4294345EU: 4290514
189,10175-1,Vader's TIE Advanced,,Normal,Licensed,Star Wars,Ultimate Collector Series,2006,View tags »A New HopeD2cDisplay StandGalactic EmpireOriginal TrilogyStarfighter ,1212,£79.99 / $99.99,"
New: ~CA$1122
Used: ~CA$567
",6.6p / 8.3c,14+,Box,,Retail - limited,,✭✭✭✭✭ 4.3 61 ratings 9 Reviews,,,EAN: 5702014478633,,,NA: 4294346
190,10176-1,King's Castle,Royal King's Castle,Normal,Historical,Castle,Knights' Kingdom II,2006,View tags »BatBlacksmithCartCatapultD2cDogDungeonEnclosed FortressGhostHorseMagicRaised BaseplateSkeletonsSnakeThrone ,869,$99.99,"
New: ~CA$453
Used: ~CA$325
",11.5c,,Box,,LEGO exclusive,Recreation of Royal Knights set 6090 and also Knights' Kingdom I sets 6091/6098. Later repackaged with an extra minifigure included.Random set of the day on 11 Jan 2019,✭✭✭✭✭ 4.6 17 ratings 10 Reviews,12,,EAN: 5702014482067,,,EU: 4297252
191,10177-1,Boeing 787 Dreamliner,,Normal,Model making,Creator Expert,Aircraft,2006,View tags »AircraftD2cJet AircraftMicroscale ,1197,£49.99 / $79.99,"
New: ~CA$935
Used: ~CA$279
",4.2p / 6.7c,10 - 15,Box,,Retail - limited,,✭✭✭✭✭ 4.4 30 ratings 4 Reviews,,,, Henrik Andersen ,,
