,set number,name,theme,subtheme,year,availability,pieces,retail price,value,growth,annual growth
7745,6218710-1,Cities of Wonders Malaysia Wau,Promotional,Cities of Wonders,2017,Retired,139,Free promotional,C$68.29,,+8.56%
7746,622-1,Tipper Truck,Town,Classic,1978,Retired,45  (PPP C$0.13),C$5.74,C$299.95,+5123.16%,+9.88%
7747,6221-1,Nex,HERO Factory,,2012,Retired,39  (PPP C$0.29),C$11.99,C$44.82,+289.77%,+14.59%
7748,622-2,Baggage Trolley,LEGOLAND,Vehicle,1970,Retired,33  (PPP C$0.14),C$4.46,C$121.15,+2614.04%,+6.83%
7749,6222-1,Core Hunter,HERO Factory,,2012,Retired,51  (PPP C$0.33),C$15.99,C$113.01,+580.22%,+17.52%
7750,6223-1,Bulk,HERO Factory,,2012,Retired,61  (PPP C$0.27),C$15.99,C$51.16,+207.93%,+13.29%
7751,6227-1,Breez,HERO Factory,,2012,Retired,55  (PPP C$0.30),C$15.99,C$95.81,+476.67%,+17.87%
7752,6228-1,Thornraxx,HERO Factory,,2012,Retired,44  (PPP C$0.26),C$11.99,C$68.27,+493.77%,+16.47%
7753,6229-1,XT4,HERO Factory,,2012,Retired,39  (PPP C$0.29),C$11.99,C$62.57,+444.16%,+15.84%
7754,6230-1,Stormer XL,HERO Factory,,2012,Retired,89  (PPP C$0.36),C$29.99,C$114.38,+257.86%,+14.44%
7755,623-1,Red Cross Car,Town,Classic,1978,Retired,38  (PPP C$0.12),C$4.46,C$318.97,+7045.85%,+10.82%
7756,6231-1,Speeda Demon,HERO Factory,,2012,Retired,192  (PPP C$0.23),C$44.99,C$75.79,+69.36%,+7.68%
7757,623-2,White Car and Camper,LEGOLAND,Vehicle,1970,Retired,38  (PPP C$0.12),C$4.46,C$123.90,+2675.64%,+6.88%
7758,6232-1,Skeleton Crew,Pirates,Imperial Armada,1996,Retired,28  (PPP C$0.14),C$3.82,C$56.21,+1369.90%,+11.93%
7759,6234-1,Renegade's Raft,Pirates,,1991,Retired,38  (PPP C$0.11),C$4.16,C$86.64,+1984.31%,+9.06%
7760,6235-1,Buried Treasure,Pirates,,1989,Retired,20  (PPP C$0.19),C$3.82,C$51.68,+1251.51%,+4.28%
7761,6236-1,King Kahuka,Pirates,Islanders,1994,Retired,45  (PPP C$0.11),C$5.10,C$54.18,+961.65%,+8.20%
7762,6237-1,Pirates Plunder,Pirates,,1993,Retired,21  (PPP C$0.18),C$3.82,C$104.21,+2625.08%,+12.04%
7763,6239-1,Cannon Battle,Pirates,,2009,Retired,45  (PPP C$0.17),C$6.99,C$29.34,+282.97%,+11.07%
7764,6240-1,Kraken Attackin',Pirates,,2009,Retired,78  (PPP C$0.16),C$11.99,C$56.46,+341.84%,+11.44%
7765,624-1,"Basic Motor, 9V",Basic,Supplementaries,1996,Retired,27  (PPP C$1.23),C$33.24,C$50.16,+50.90%,+1.73%
7766,6241-1,Loot Island,Pirates,,2009,Retired,142  (PPP C$0.18),C$24.99,C$137.81,+439.02%,+13.11%
7767,6242-1,Soldiers' Fort,Pirates,,2009,Retired,367  (PPP C$0.17),C$64.99,C$298.86,+367.43%,+11.63%
7768,624210-1,LEGO House 6 Bricks,Promotional,LEGO House,2017,Retired,6,Free promotional,C$3.03,,+33.40%
7769,6243-1,Brickbeard's Bounty,Pirates,,2009,Retired,592  (PPP C$0.22),C$119.99,C$447.64,+250.03%,+10.71%
7770,6244-1,Sentry,Pirates,Imperial Armada,1996,Retired,71  (PPP C$0.16),C$11.19,C$115.11,+928.57%,+8.24%
7771,6244853-1,Lion Dance,Promotional,LEGO brand stores,2019,Retired,,Free promotional,C$84.57,,+2.56%
7772,6245-1,Harbor Sentry,Pirates,Imperial Guards,1989,Retired,25  (PPP C$0.22),C$5.44,C$155.50,+2760.71%,+9.79%
7773,6246-1,Crocodile Cage,Pirates,Islanders,1994,Retired,59  (PPP C$0.16),C$9.27,C$77.90,+740.14%,+4.51%
7774,6247-1,Bounty Boat,Pirates,Imperial Guards,1992,Retired,36  (PPP C$0.17),C$6.08,C$163.49,+2591.16%,+12.78%
7775,6248-1,Volcano Island,Pirates,,1996,Retired,119  (PPP C$0.13),C$15.34,C$161.86,+955.46%,+8.76%
7776,6249-1,Pirates Ambush,Pirates,,1997,Retired,156  (PPP C$0.18),C$28.13,C$319.24,+1035.06%,+7.96%
7777,6250-1,Cross Bone Clipper,Pirates,,1997,Retired,154  (PPP C$0.27),C$42.19,C$677.77,+1506.30%,+11.53%
7778,625-1,Tractor Digger,Town,Classic,1978,Retired,31  (PPP C$0.14),C$4.46,C$140.59,+3049.57%,+8.57%
7779,6251-1,Pirate Minifigures,Pirates,Accessories,1989,Retired,33  (PPP C$0.25),C$8.31,C$166.91,+1907.69%,+8.43%
7780,6252-1,Sea Mates,Pirates,Accessories,1993,Retired,32  (PPP C$0.29),C$9.27,C$127.89,+1279.17%,+9.94%
7781,6252770-1,Leia Organa,Star Wars,,2018,Retired,18,Free promotional,C$19.16,,+35.20%
7782,6252808-1,Chewbacca,Star Wars,,2018,Retired,22,Free promotional,C$24.62,,+12.58%
7783,6252810-1,Han Solo,Star Wars,,2018,Retired,23,Free promotional,C$23.96,,+33.40%
7784,6252811-1,Obi-Wan Kenobi,Star Wars,,2018,Retired,18,Free promotional,C$14.38,,+29.22%
7785,6252812-1,Luke Skywalker,Star Wars,,2018,Retired,20,Free promotional,C$19.95,,+35.20%
7786,6253-1,Shipwreck Hideout,Pirates,,2009,Retired,310  (PPP C$0.16),C$51.15,C$230.12,+349.91%,+11.49%
7787,6254-1,Rocky Reef,Pirates,,1995,Retired,103  (PPP C$0.19),C$19.17,C$191.81,+900.47%,+7.50%
7788,6255-1,Pirates Comic,Pirates,,1989,Retired,12  (PPP C$0.64),C$7.66,C$138.27,+1704.84%,+9.79%
7789,6256-1,Islander Catamaran,Pirates,Islanders,1994,Retired,63  (PPP C$0.24),C$15.34,C$153.28,+899.50%,+8.46%
7790,6257-1,Castaway's Raft,Pirates,,1989,Retired,54  (PPP C$0.20),C$10.87,C$132.36,+1117.53%,+8.21%
7791,6258-1,Smuggler's Shanty,Pirates,,1992,Retired,70  (PPP C$0.17),C$11.83,C$95.91,+710.70%,+4.43%
7792,6258620-1,Classic Wooden Duck,Promotional,60 Year Classic Series,2018,Retired,,Free promotional,C$24.74,,+36.20%
7793,6258622-1,LEGO Brick 60th Anniversary Red Pencil Pot,Promotional,60 Year Classic Series,2018,Retired,,Free promotional,C$35.03,,+3.81%
7794,6258623-1,Classic Wooden Train,Promotional,60 Year Classic Series,2018,Retired,,Free promotional,C$21.86,,+11.04%
7795,6258624-1,Classic Heritage Wooden Truck,Promotional,60 Year Classic Series,2018,Retired,,Free promotional,C$22.23,,+1.19%
7796,6259-1,Broadside's Brig,Pirates,Imperial Guards,1991,Retired,68  (PPP C$0.16),C$11.19,C$269.64,+2309.37%,+8.11%
7797,6260-1,Shipwreck Island,Pirates,,1989,Retired,71  (PPP C$0.22),C$15.34,C$306.90,+1901.25%,+11.12%
7798,626-1,"Building Plate, Green",Basic,Supplementaries,1996,Retired,1  (PPP C$6.38),C$7.99,C$10.23,+60.32%,+2.27%
7799,6261-1,Raft Raiders,Pirates,,1992,Retired,81  (PPP C$0.21),C$16.95,C$257.36,+1418.64%,+5.81%
7800,626-2,Red Cross Helicopter,Town,Classic,1978,Retired,37  (PPP C$0.19),C$7.02,C$10.23,+45.72%,+0.90%
7801,6262-1,King Kahuka's Throne,Pirates,Islanders,1994,Retired,146  (PPP C$0.18),C$26.85,C$211.12,+686.42%,+6.30%
7802,6263-1,Imperial Outpost,Pirates,Imperial Guards,1995,Retired,216  (PPP C$0.16),C$35.17,C$257.18,+631.20%,+9.36%
7803,6264-1,Forbidden Cove,Pirates,Islanders,1994,Retired,214  (PPP C$0.18),C$38.05,C$191.03,+402.05%,+7.31%
7804,6265-1,Sabre Island,Pirates,,1989,Retired,96  (PPP C$0.21),C$19.82,C$280.87,+1316.77%,+7.14%
7805,6266-1,Cannon Cove,Pirates,Imperial Guards,1993,Retired,106  (PPP C$0.21),C$22.38,C$216.28,+866.29%,+8.85%
7806,6267-1,Lagoon Lock-Up,Pirates,Imperial Guards,1991,Retired,193  (PPP C$0.19),C$37.08,C$505.32,+1262.85%,+5.64%
7807,6268-1,Renegade Runner,Pirates,,1993,Retired,178  (PPP C$0.29),C$50.84,C$860.63,+1592.81%,+7.39%
7808,6270-1,Forbidden Island,Pirates,,1989,Retired,182  (PPP C$0.26),C$47.95,"C$1,080.63",+2153.67%,+9.72%
7809,627-1,Blue Building Plate,Basic,Supplementaries,1996,Retired,1  (PPP C$7.02),C$7.02,C$13.63,+94.17%,+9.23%
7810,6271-1,Imperial Flagship,Pirates,Imperial Guards,1992,Retired,317  (PPP C$0.20),C$63.94,"C$1,340.80",+1997.06%,+7.40%
7811,6273-1,Rock Island Refuge,Pirates,,1991,Retired,381  (PPP C$0.22),C$84.41,C$995.04,+1078.76%,+9.14%
7812,6274-1,Caribbean Clipper,Pirates,,1989,Retired,378  (PPP C$0.18),C$69.07,"C$2,445.00",+3440.09%,+11.50%
7813,6276-1,Eldorado Fortress,Pirates,,1989,Retired,506  (PPP C$0.15),C$76.73,"C$1,676.01",+2084.38%,+10.47%
7814,6277-1,Imperial Trading Post,Pirates,Imperial Guards,1992,Retired,608  (PPP C$0.18),C$108.70,"C$2,228.82",+1950.39%,+8.77%
7815,6278-1,Enchanted Island,Pirates,Islanders,1994,Retired,428  (PPP C$0.20),C$84.41,C$818.56,+869.70%,+5.64%
7816,6279-1,Skull Island,Pirates,,1995,Retired,378  (PPP C$0.18),C$67.79,C$456.86,+573.96%,+8.31%
7817,6280-1,Armada Flagship,Pirates,Imperial Armada,1996,Retired,284  (PPP C$0.23),C$63.94,C$441.00,+589.74%,+8.17%
7818,628-1,X-Large Baseplate Grey,Basic,Supplementaries,1996,Retired,1  (PPP C$19.17),C$19.99,C$31.90,+66.38%,+6.62%
7819,6281-1,Pirates Perilous Pitfall,Pirates,,1997,Retired,395  (PPP C$0.24),C$93.37,"C$1,202.85",+1188.30%,+12.86%
7820,628-2,Police Helicopter,LEGOLAND,,1978,Retired,39  (PPP C$0.18),C$7.02,C$105.81,+1406.92%,+6.68%
7821,6282-1,Stringer,HERO Factory,,2012,Retired,42  (PPP C$0.27),C$11.99,C$60.73,+428.14%,+13.52%
7822,6283-1,Voltix,HERO Factory,,2012,Retired,61  (PPP C$0.27),C$15.99,C$44.70,+169.05%,+11.23%
7823,6285-1,Black Seas Barracuda,Pirates,,1989,Retired,909  (PPP C$0.15),C$140.68,"C$2,449.12",+1640.95%,+10.08%
7824,6286-1,Skull's Eye Schooner,Pirates,,1993,Retired,912  (PPP C$0.18),C$161.79,"C$4,476.49",+2666.79%,+9.61%
7825,6289-1,Red Beard Runner,Pirates,,1996,Retired,703  (PPP C$0.18),C$126.62,C$703.45,+455.56%,+7.41%
7826,6290-1,Red Beard Runner,Pirates,,2001,Retired,698  (PPP C$0.18),C$127.89,C$458.79,+258.75%,+4.92%
7827,629-1,Three Building Plates,Basic,Supplementaries,1996,Retired,3  (PPP C$2.34),C$7.02,C$16.68,+137.52%,+3.67%
7828,6291-1,Armada Flagship,Pirates,,2001,Retired,280  (PPP C$0.23),C$63.94,C$447.64,+600.12%,+5.96%
7829,6292-1,Enchanted Island,Pirates,Islanders,2001,Retired,419  (PPP C$0.21),C$89.52,C$571.50,+538.42%,+8.79%
7830,6293-1,Furno,HERO Factory,,2012,Retired,56  (PPP C$0.30),C$15.99,C$111.12,+568.82%,+14.00%
7831,6296-1,Shipwreck Island,Pirates,,1996,Retired,216  (PPP C$0.18),C$38.05,C$315.80,+729.95%,+11.26%
7832,6299-1,Pirates Advent Calendar,Pirates,Seasonal,2009,Retired,148  (PPP C$0.17),C$25.57,C$127.90,+400.25%,+10.40%
7833,630-1,"Brick Separator, Green",Basic,Supplementaries,1996,Retired,1  (PPP C$3.18),C$2.99,C$4.34,+36.14%,+2.92%
7834,6301-1,Town Mini-Figures,Town,Accessories,1986,Retired,32  (PPP C$0.22),C$7.02,C$202.07,+2777.78%,+10.39%
7835,6302-1,Town Mini-Figure Set,Town,Accessories,1982,Retired,31  (PPP C$0.23),C$7.02,C$168.52,+2300.00%,+6.65%
7836,630-3,Brick Separator,Bricks and More,Accessories,2011,Retired,1  (PPP C$3.18),C$2.99,C$4.98,+56.22%,+5.10%
7837,6304-1,Cross Road Plates,Town,Accessories,1980,Retired,2  (PPP C$3.19),C$6.38,C$37.86,+493.19%,+4.90%
7838,6305-1,Trees and Flowers,Town,Accessories,1980,Retired,12  (PPP C$0.40),C$4.80,C$34.47,+618.67%,+5.06%
7839,6306-1,Road Signs,Town,Accessories,1980,Retired,12  (PPP C$0.27),C$3.18,C$76.93,+2315.66%,+5.35%
7840,6307-1,Firemen,Town,Accessories,1983,Retired,22  (PPP C$0.20),C$4.46,C$119.57,+2578.80%,+9.30%
7841,6307985-1,Spring,Promotional,Toys R Us,2019,Retired,,Free promotional,C$41.07,,+25.00%
7842,6307986-1,Summer,Promotional,Toys R Us,2019,Retired,,Free promotional,C$41.41,,+15.58%
7843,6307987-1,Autumn,Promotional,Toys R Us,2019,Retired,,Free promotional,C$48.77,,+37.20%
7844,6307988-1,Winter,Promotional,Toys R Us,2019,Retired,,Free promotional,C$50.39,,+37.20%
7845,6308-1,Policemen,Town,Accessories,1982,Retired,20  (PPP C$0.22),C$4.46,C$104.46,+2240.11%,+8.66%
7846,6309-1,Town Minifigures,Town,Accessories,1988,Retired,37  (PPP C$0.21),C$7.66,C$267.09,+3386.31%,+9.45%
7847,6310-1,Junction Road Plates,Town,Accessories,1986,Retired,2  (PPP C$3.68),C$7.35,C$45.42,+517.57%,+3.95%
7848,631-1,Doors and Windows,Basic,Supplementaries,1996,Retired,52  (PPP C$0.18),C$9.58,C$24.77,+158.61%,+4.04%
7849,6311-1,Curved Road Plates,Town,Accessories,1986,Retired,2  (PPP C$3.68),C$7.35,C$32.35,+339.83%,+4.61%
7850,6312-1,Straight Road Plates,Town,Accessories,1986,Retired,2  (PPP C$3.68),C$7.35,C$49.20,+569.04%,+6.99%
7851,6313-1,Cross Road Plates,Town,Accessories,1986,Retired,2  (PPP C$3.68),C$7.35,C$35.47,+382.26%,+2.55%
7852,6314-1,City People,Town,Accessories,1992,Retired,33  (PPP C$0.28),C$9.27,C$53.00,+471.59%,+4.58%
7853,6315023-1,Windmill,Promotional,LEGO Brand Store Opening Set,2019,Retired,,Free promotional,C$278.83,,+37.20%
7854,6315025-1,Amsterdam BrickHeadz,BrickHeadz,Promotional,2019,Retired,,Free promotional,C$335.30,,+37.20%
7855,6315-1,Road Signs,Town,Accessories,1988,Retired,11  (PPP C$0.35),C$3.82,C$37.31,+875.59%,+5.16%
7856,6316-1,Flags and Fences,Town,Accessories,1988,Retired,38  (PPP C$0.13),C$5.10,C$30.63,+500.25%,+6.78%
7857,6317-1,Trees and Flowers,Town,Accessories,1988,Retired,24  (PPP C$0.21),C$5.10,C$61.94,+1113.78%,+6.19%
7858,6318-1,"Flowers, Trees and Fences",Town,Accessories,1996,Retired,49  (PPP C$0.12),C$5.74,C$47.67,+730.07%,+7.57%
7859,6319-1,Trees and Fences,Town,Accessories,1993,Retired,37  (PPP C$0.16),C$5.74,C$44.05,+667.04%,+4.66%
7860,6320-1,Junction Road Plates,Town,Accessories,1997,Retired,2  (PPP C$3.83),C$7.66,C$48.32,+530.72%,+13.01%
7861,632-1,Wheels and Tyres,Basic,Supplementaries,1996,Retired,60  (PPP C$0.16),C$9.58,C$19.34,+101.87%,+2.97%
7862,6321-1,Curved Road Plates,Town,Accessories,1997,Retired,2  (PPP C$3.83),C$7.66,C$42.48,+454.42%,+7.77%
7863,6322-1,Straight Road Plates,Town,Accessories,1997,Retired,2  (PPP C$3.83),C$7.66,C$58.86,+668.28%,+4.37%
7864,6322719-1,Hangzhou BrickHeadz,BrickHeadz,Miscellaneous,2020,Retired,98,Free promotional,C$170.36,,
7865,6323-1,Cross Road Plates,Town,Accessories,1997,Retired,2  (PPP C$4.47),C$8.94,C$23.44,+162.23%,+7.42%
7866,6324-1,Chopper Cop,Town,Police,1998,Retired,17  (PPP C$0.22),C$3.82,C$15.65,+309.36%,+4.04%
7867,6325-1,Package Pick-Up,Town,Vehicles,1998,Retired,28  (PPP C$0.22),C$6.08,C$29.70,+388.84%,+4.61%
7868,6326-1,Town Folk,Town,Accessories,1998,Retired,35  (PPP C$0.22),C$7.66,C$54.06,+605.68%,+7.78%
7869,6327-1,Turbo Champ,Town,Vehicles,1998,Retired,48  (PPP C$0.27),C$12.78,C$31.72,+148.25%,+4.91%
7870,6328-1,Helicopter Transport,Town,Police,1998,Retired,102  (PPP C$0.19),C$19.17,C$52.87,+175.78%,+5.13%
7871,6329-1,Truck Stop,Town,City,1998,Retired,137  (PPP C$0.23),C$31.96,C$67.06,+109.80%,+2.74%
7872,6330-1,Cargo Center,Town,City,1998,Retired,242  (PPP C$0.26),C$63.63,C$153.43,+141.13%,+6.36%
7873,633-1,Roof Tiles,Basic,Supplementaries,1996,Retired,50  (PPP C$0.19),C$9.58,C$18.99,+98.26%,+3.65%
7874,6331-1,Patriot Jet,Town,Flight,1996,Retired,161  (PPP C$0.13),C$21.10,C$126.76,+500.67%,+8.44%
7875,6332-1,Command Post Central,Town,Police,1998,Retired,272  (PPP C$0.28),C$76.73,C$243.56,+217.44%,+7.44%
7876,6333-1,Race and Chase,Town,Vehicles,1998,Retired,50  (PPP C$0.15),C$7.64,C$31.85,+317.09%,+9.73%
7877,6334-1,Wave Jump Racers,Town,Leisure,1996,Retired,181  (PPP C$0.14),C$25.57,C$120.46,+371.14%,+7.27%
7878,6335-1,Indy Transport,Town,Racing,1996,Retired,397  (PPP C$0.10),C$38.36,C$490.51,+1178.79%,+14.56%
7879,6336-1,Launch Response Unit,Town,Launch Command,1995,Retired,185  (PPP C$0.11),C$21.10,C$89.52,+324.18%,+5.58%
7880,6337-1,Fast Track Finish,Town,Racing,1996,Retired,339  (PPP C$0.15),C$51.15,C$831.35,+1525.41%,+13.07%
7881,6338-1,Hurricane Harbor,Town,Coastguard,1995,Retired,364  (PPP C$0.17),C$63.31,C$287.78,+354.55%,+5.27%
7882,6339-1,Shuttle Launch Pad,Town,Launch Command,1995,Retired,564  (PPP C$0.15),C$84.41,C$431.48,+411.15%,+3.45%
7883,6340-1,Hook & Ladder,Town,Fire,1994,Retired,177  (PPP C$0.14),C$25.57,C$188.86,+638.67%,+7.56%
7884,634-1,Extra Bricks in Red,Basic,Supplementaries,1996,Retired,62  (PPP C$0.15),C$9.58,C$15.14,+58.08%,+2.34%
7885,6341-1,Gas N' Go Flyer,Town,Flight,1994,Retired,106  (PPP C$0.16),C$16.95,C$58.54,+245.43%,+4.89%
7886,6342-1,Beach Rescue Chopper,Town,Coastguard,1993,Retired,147  (PPP C$0.15),C$22.38,C$117.09,+423.14%,+5.12%
7887,6344-1,Jet Speed Justice,Town,Police,1993,Retired,157  (PPP C$0.17),C$26.85,C$161.88,+503.00%,+6.97%
7888,6345-1,Aerial Acrobats,Town,Flight,1993,Retired,351  (PPP C$0.12),C$43.47,C$232.10,+433.89%,+4.54%
7889,6346-1,Shuttle Launching Crew,Town,Flight,1992,Retired,408  (PPP C$0.12),C$49.24,C$463.83,+841.95%,+8.65%
7890,6347-1,Monorail Accessory Track,Town,Monorail,1991,Retired,54  (PPP C$0.83),C$44.75,C$452.98,+912.20%,+4.11%
7891,6348-1,Surveillance Squad,Town,Police,1994,Retired,311  (PPP C$0.14),C$42.19,C$383.64,+809.21%,+9.87%
7892,6349-1,Holiday Villa,Town,Leisure,1988,Retired,205  (PPP C$0.19),C$38.36,C$512.46,+1236.01%,+8.44%
7893,6350-1,Pizza To Go,Town,Shops and Services,1994,Retired,152  (PPP C$0.13),C$19.17,C$181.62,+847.30%,+7.51%
7894,635-1,Extra Bricks in White,Basic,Supplementaries,1996,Retired,62  (PPP C$0.15),C$9.58,C$15.14,+58.08%,+5.13%
7895,6351-1,Surf N' Sail Camper,Town,Leisure,1992,Retired,188  (PPP C$0.13),C$24.30,C$158.88,+553.79%,+4.35%
7896,6352-1,Cargomaster Crane,Town,Vehicles,1991,Retired,140  (PPP C$0.12),C$16.31,C$193.91,+1089.10%,+8.92%
7897,6353-1,Coastal Cutter,Town,Coastguard,1991,Retired,185  (PPP C$0.13),C$24.30,C$252.27,+938.11%,+9.31%
7898,6354-1,Pursuit Squad,Town,Police,1990,Retired,171  (PPP C$0.12),C$19.82,C$177.81,+796.90%,+8.25%
7899,6355-1,Derby Trotter,Town,Leisure,1989,Retired,140  (PPP C$0.13),C$17.89,C$196.11,+996.00%,+8.27%
7900,6356-1,Med-Star Rescue Plane,Town,Medical,1988,Retired,159  (PPP C$0.12),C$19.82,C$168.66,+750.77%,+6.92%
7901,6357-1,Stunt 'Copter N' Truck,Town,Vehicles,1988,Retired,177  (PPP C$0.12),C$21.73,C$200.93,+824.66%,+7.20%
7902,6358-1,Snorkel Squad,Town,Fire,1987,Retired,153  (PPP C$0.11),C$17.27,C$528.75,+2962.30%,+13.76%
7903,6359-1,Horse Trailer,Town,Leisure,1986,Retired,141  (PPP C$0.12),C$16.31,C$321.08,+1868.94%,+4.93%
7904,6360-1,Weekend Cottage,Town,Leisure,1986,Retired,113  (PPP C$0.14),C$16.31,C$587.65,+3503.61%,+6.60%
7905,636-1,Pull Back Motor,Basic,Supplementaries,1996,Retired,14  (PPP C$0.59),C$8.30,C$11.82,+42.37%,+3.88%
7906,6361-1,Mobile Crane,Town,Vehicles,1986,Retired,163  (PPP C$0.10),C$16.31,C$311.21,+1808.39%,+5.10%
7907,6362-1,Post Office,Town,Postal,1982,Retired,133  (PPP C$0.14),C$19.17,C$594.42,+3000.40%,+9.47%
7908,6363-1,Auto Repair Shop,Town,Shops and Services,1980,Retired,141  (PPP C$0.14),C$19.17,C$447.00,+2231.49%,+8.20%
7909,6364-1,Paramedic Unit,Town,Medical,1980,Retired,137  (PPP C$0.14),C$19.17,C$369.73,+1828.49%,+7.68%
7910,6365-1,Summer Cottage,Town,Leisure,1981,Retired,144  (PPP C$0.13),C$19.17,C$407.58,+2025.88%,+8.16%
7911,6366-1,Fire and Rescue Squad,Town,Fire,1984,Retired,112  (PPP C$0.17),C$19.17,C$338.28,+1664.44%,+7.80%
7912,6367-1,Semi Truck,Town,Vehicles,1984,Retired,155  (PPP C$0.11),C$16.31,C$496.15,+2942.51%,+9.96%
7913,6368-1,Jet Airliner,Town,Flight,1985,Retired,136  (PPP C$0.12),C$16.31,C$433.30,+2557.10%,+6.56%
7914,6369-1,Auto Workshop,Town,Shops and Services,1985,Retired,134  (PPP C$0.14),C$19.17,C$515.44,+2588.46%,+9.87%
7915,6370-1,Weekend Home,Town,Leisure,1985,Retired,177,,"C$1,042.07",,
7916,637-1,Play Table,Basic,Supplementaries,1996,Retired,3  (PPP C$19.18),C$57.54,C$364.03,+532.63%,+8.00%
7917,6371-1,Shell Service Station,Town,Shops and Services,1983,Retired,261  (PPP C$0.10),C$25.57,"C$1,465.61",+5632.37%,+11.57%
7918,6372-1,Town House,Town,Leisure,1982,Retired,217,,C$724.05,,
7919,6373-1,Motorcycle Shop,Town,Shops and Services,1984,Retired,171  (PPP C$0.13),C$22.38,C$675.56,+2918.23%,+9.93%
7920,6374-1,Holiday Home,Town,Leisure,1983,Retired,257  (PPP C$0.11),C$28.13,"C$1,398.74",+4873.26%,+11.14%
7921,6375-1,Trans Air Carrier,Town,Flight,1990,Retired,208  (PPP C$0.12),C$24.93,C$390.93,+1468.24%,+10.03%
7922,6375-2,Exxon Gas Station,Town,Shops and Services,1980,Retired,267  (PPP C$0.10),C$25.57,"C$2,790.97",+10816.21%,+12.46%
7923,6376-1,Breezeway Café,Town,Shops and Services,1990,Retired,183  (PPP C$0.16),C$29.40,C$294.81,+902.61%,+7.99%
7924,6377-1,Delivery Center,Town,Flight,1985,Retired,305  (PPP C$0.11),C$32.61,C$738.25,+2163.57%,+9.33%
7925,6378-1,Shell Service Station,Town,Shops and Services,1986,Retired,291  (PPP C$0.11),C$32.61,C$950.76,+2815.14%,+10.44%
7926,6379-1,Riding Stable,Town,Leisure,1986,Retired,275  (PPP C$0.12),C$33.24,C$464.99,+1298.85%,+7.62%
7927,6380-1,Emergency Treatment Center,Town,Medical,1987,Retired,308  (PPP C$0.12),C$38.05,C$482.78,+1168.81%,+4.27%
7928,638-1,Lots of Extra Basic Bricks,Basic,Supplementaries,1996,Retired,404  (PPP C$0.06),C$25.57,Unknown,,
7929,6381-1,Motor Speedway,Town,Racing,1987,Retired,205  (PPP C$0.14),C$29.40,C$236.24,+703.44%,+4.52%
7930,6382-1,Fire Station,Town,Fire,1981,Retired,390  (PPP C$0.08),C$31.96,C$600.07,+1777.43%,+7.81%
7931,6383-1,Public Works Center,Town,Maintenance,1981,Retired,421  (PPP C$0.09),C$38.36,C$923.07,+2306.50%,+8.50%
7932,6384-1,Police Station,Town,Police,1983,Retired,389  (PPP C$0.12),C$44.75,C$729.12,+1529.24%,+7.84%
7933,6385-1,Fire House-I,Town,Fire,1985,Retired,407  (PPP C$0.14),C$55.00,C$773.91,+1307.19%,+7.85%
7934,6386-1,Police Command Base,Town,Police,1986,Retired,381  (PPP C$0.15),C$56.28,"C$1,392.65",+2374.68%,+7.04%
7935,6387-1,Coastal Rescue Base,Town,Coastguard,1989,Retired,374  (PPP C$0.12),C$44.75,C$328.55,+634.15%,+6.65%
7936,6388-1,Holiday Home with Campervan,Town,Leisure,1989,Retired,353  (PPP C$0.13),C$44.75,C$642.67,+1336.07%,+8.74%
7937,6389-1,Fire Control Center,Town,Fire,1990,Retired,533  (PPP C$0.12),C$66.50,C$835.14,+1155.93%,+8.13%
7938,6390-1,Main Street,Town,Shops and Services,1980,Retired,591  (PPP C$0.09),C$51.15,"C$3,794.87",+7319.50%,+11.38%
7939,639-1,Lots of Extra Basic Bricks,Basic,Supplementaries,1996,Retired,400  (PPP C$0.06),C$25.26,C$66.94,+165.01%,+4.15%
7940,6391-1,Cargo Center,Town,Shops and Services,1984,Retired,553  (PPP C$0.10),C$55.00,"C$1,346.44",+2348.21%,+9.30%
7941,6392-1,Airport,Town,Flight,1985,Retired,530  (PPP C$0.13),C$67.47,C$720.36,+967.72%,+7.01%
7942,6393-1,Big Rig Truck Stop,Town,Shops and Services,1987,Retired,621  (PPP C$0.11),C$67.47,"C$4,412.83",+6440.70%,+13.52%
7943,6394-1,Parking & Service Center,Town,Shops and Services,1988,Retired,620  (PPP C$0.12),C$74.50,C$808.00,+984.53%,+7.58%
7944,6395-1,Victory Lap Raceway,Town,Racing,1988,Retired,606  (PPP C$0.12),C$74.50,C$541.66,+627.04%,+4.17%
7945,6396-1,International Jetport,Town,Flight,1990,Retired,541  (PPP C$0.16),C$89.21,C$727.39,+715.37%,+6.55%
7946,6397-1,Gas N' Wash Express,Town,Shops and Services,1992,Retired,470  (PPP C$0.14),C$66.50,C$395.42,+494.65%,+8.68%
7947,6398-1,Central Precinct HQ,Town,Police,1993,Retired,615  (PPP C$0.15),C$93.37,C$720.22,+671.38%,+4.32%
7948,6399-1,Airport Shuttle,Town,Monorail,1990,Retired,767  (PPP C$0.23),C$179.05,"C$5,101.91",+2749.47%,+11.67%
7949,6-4,Kraft Velveeta Mini-Wheel Model Maker Set 6,Samsonite,Kraft Velveeta,1971,Retired,77  (PPP C$0.02),C$1.28,C$69.35,+5322.00%,+8.50%
7950,6400-1,Go-Kart,Town,Racing,1997,Retired,23  (PPP C$0.11),C$2.55,C$10.94,+329.65%,+5.52%
7951,640-1,Fire Truck,LEGOLAND,Vehicle,1971,Retired,45  (PPP C$0.16),C$7.02,Unknown,,
